uniprot	gene	inchikey	smiles
Q9UKV0	HDAC9	CRAMEMOEGDTUCY-MDZDMXLPSA-N	O=C(/C=C/c1ccc(Cc2nc3ccccc3[nH]2)cc1)NO
Q9UKV0	HDAC9	PTJGLFIIZFVFJV-UHFFFAOYSA-N	O=C(CCCCCCC(=O)Nc1cccnc1)NO
Q9UKV0	HDAC9	MXWDSZWTBOCWBK-UHFFFAOYSA-N	CN(C)c1ccc(C(=O)NCCCCCCC(=O)NO)cc1
Q9UKV0	HDAC9	CITNMKKLNPYCDV-OVCLIPMQSA-N	O=C(/C=C/c1ccc(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1)NO
Q9UKV0	HDAC9	RGWSSTALGUXZMU-UHFFFAOYSA-N	CN(C)c1ccc(C(=O)NCCCCCC(=O)NO)cc1
Q9UKV0	HDAC9	SKBXAZQJXDJNFI-RMKNXTFCSA-N	COc1ccc2[nH]cc(CCNCc3ccc(/C=C/C(=O)NO)cc3)c2c1
Q9UKV0	HDAC9	YBKDMLFWQHJAMJ-UHFFFAOYSA-N	O=C(CCCCCNC(=O)c1ccc(OCc2ccccc2)cc1)NO
Q9UKV0	HDAC9	XEWAXQQWHKCUTB-JLHYYAGUSA-N	O=C(/C=C/c1ccc(CNCCc2c[nH]c3ccc(OCc4ccccc4)cc23)cc1)NO
Q9UKV0	HDAC9	ATSUJKLLCSXMLV-BUHFOSPRSA-N	O=C(/C=C/c1ccc(CNCCn2c3ccccc3c3ccccc32)cc1)NO
Q9UKV0	HDAC9	NLKQTNGJKCBXMU-MDZDMXLPSA-N	O=C(/C=C/c1ccc(CNCCc2cnc3ccccc3c2)cc1)NO
Q9UKV0	HDAC9	GUGBOAVFOFNJFG-VAWYXSNFSA-N	O=C(/C=C/c1ccc(CNCCCc2c[nH]c3ccccc23)cc1)NO
Q9UKV0	HDAC9	IYVIAGDMQOYYQC-OUKQBFOZSA-N	O=C(/C=C/c1ccc(CNCCCc2ccccc2)cc1)NO
Q9UKV0	HDAC9	ILAZEUQGANOTAY-VAWYXSNFSA-N	CC(C)N(CCc1c[nH]c2ccccc12)Cc1ccc(/C=C/C(=O)NO)cc1
Q9UKV0	HDAC9	NMUMGBKBHOJAQD-UHFFFAOYSA-N	CN(C)c1ccc(C(=O)NCCCCCCCC(=O)NO)cc1
Q9UKV0	HDAC9	QLJDJSOFNVSHNG-VMPITWQZSA-N	O=C(/C=C/c1ccc(CNCCc2c[nH]c3ccc(F)cc23)cc1)NO
Q9UKV0	HDAC9	QBAGBBYBQAYFBT-XDHOZWIPSA-N	COC(=O)NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O
Q9UKV0	HDAC9	BWDQBBCUWLSASG-MDZDMXLPSA-N	O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO
Q9UKV0	HDAC9	ZLUZDKXBTNQWOL-MDZDMXLPSA-N	O=C(/C=C/c1ccc(CNCCc2c[nH]c3ccccc23)cc1)NO
Q9UKV0	HDAC9	DWIYBCKFYUQVLU-UHFFFAOYSA-N	N#Cc1ccc(-c2ccc(OCCCCCCC(=O)NO)cc2)cc1
Q9UKV0	HDAC9	FPOHNWQLNRZRFC-ZHACJKMWSA-N	Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1
Q9UKV0	HDAC9	NCNRHFGMJRPRSK-MDZDMXLPSA-N	O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO
