uniprot	gene	inchikey	smiles
P35368	ADRA1B	GZKLJWGUPQBVJQ-UHFFFAOYSA-N	O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
P35368	ADRA1B	JXZZEXZZKAWDSP-UHFFFAOYSA-N	O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1
P35368	ADRA1B	VVSOHUNZJUMVHS-UHFFFAOYSA-N	O=C(CCCN1CCC(NC(=O)c2ccccc2)CC1)c1ccccc1
P35368	ADRA1B	URKOMYMAXPYINW-UHFFFAOYSA-N	OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
P35368	ADRA1B	ZFZPJDFBJFHYIV-UHFFFAOYSA-N	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1
P35368	ADRA1B	VBWVJJZYUPVDPN-UHFFFAOYSA-N	O=C(CCCN1CCc2[nH]c3ccc(F)cc3c2C1)c1ccc(F)cc1
P35368	ADRA1B	GJSURZIOUXUGAL-UHFFFAOYSA-N	Clc1cccc(Cl)c1N=C1NCCN1
P35368	ADRA1B	HUCJFAOMUPXHDK-UHFFFAOYSA-N	Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1
P35368	ADRA1B	UCTWMZQNUQWSLP-VIFPVBQESA-N	CNC[C@H](O)c1ccc(O)c(O)c1
P35368	ADRA1B	IENZQIKPVFGBNW-UHFFFAOYSA-N	COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
P35368	ADRA1B	LNEPOXFFQSENCJ-UHFFFAOYSA-N	O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
P35368	ADRA1B	QZUDBNBUXVUHMW-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
P35368	ADRA1B	WVZSEUPGUDIELE-HTAPYJJXSA-N	C[C@@H](CN1CCC(Cc2ccccc2)CC1)[C@@H](O)c1ccc(O)cc1
P35368	ADRA1B	QWCRAEMEVRGPNT-UHFFFAOYSA-N	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
P35368	ADRA1B	CEUORZQYGODEFX-UHFFFAOYSA-N	O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
P35368	ADRA1B	VRBKIVRKKCLPHA-UHFFFAOYSA-N	CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
P35368	ADRA1B	KVWDHTXUZHCGIO-UHFFFAOYSA-N	Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
P35368	ADRA1B	SGUAFYQXFOLMHL-UHFFFAOYSA-N	CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(=N)O)c1
P35368	ADRA1B	DCSUBABJRXZOMT-IRLDBZIGSA-N	COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC
P35368	ADRA1B	DLNKOYKMWOXYQA-UHFFFAOYSA-N	CC(N)C(O)c1ccccc1
P35368	ADRA1B	SONNWYBIRXJNDC-UHFFFAOYSA-N	CNCC(O)c1cccc(O)c1
P35368	ADRA1B	KQFRTJUIRPBBAB-UHFFFAOYSA-N	Clc1cccc(N2CCNCC2)n1
P35368	ADRA1B	KWGRBVOPPLSCSI-SCZZXKLOSA-N	CN[C@H](C)[C@H](O)c1ccccc1
P35368	ADRA1B	SVJMLYUFVDMUHP-UHFFFAOYSA-N	COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1
P35368	ADRA1B	YVWGGGGMRDLOGA-GOSISDBHSA-N	Cc1cccc(S(=O)(=O)N2CCC[C@@H]2CCN2CCC(C)CC2)c1
P35368	ADRA1B	RUZYUOTYCVRMRZ-UHFFFAOYSA-N	COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
P35368	ADRA1B	PZZOEXPDTYIBPI-UHFFFAOYSA-N	O=C1c2ccccc2CCC1CNCCc1ccc(O)cc1
P35368	ADRA1B	VCKUSRYTPJJLNI-UHFFFAOYSA-N	COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
P35368	ADRA1B	SFLSHLFXELFNJZ-QMMMGPOBSA-N	NC[C@H](O)c1ccc(O)c(O)c1
P35368	ADRA1B	YAORIDZYZDUZCM-UHFFFAOYSA-N	c1ccc(C2CC2)c(OCC2=NCCN2)c1
P35368	ADRA1B	XCGSFFUVFURLIX-VFGNJEKYSA-N	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
P35368	ADRA1B	QXWYKJLNLSIPIN-JGVFFNPUSA-N	N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1
