uniprot	gene	inchikey	smiles
P31644	GABRA5	JQUJTHQSFVWZEH-UHFFFAOYSA-N	CSc1sc(-c2ccn(C(C)=O)n2)c2c1C(=O)CC(C)(C)C2
P31644	GABRA5	HUNXMJYCHXQEGX-UHFFFAOYSA-N	CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1
P31644	GABRA5	GBBSUAFBMRNDJC-INIZCTEOSA-N	CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
P31644	GABRA5	CFSOJZTUTOQNIA-UHFFFAOYSA-N	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2
P31644	GABRA5	GADIKQPUNWAMEB-UHFFFAOYSA-N	CCc1c(C(=O)OC)ncc2[nH]c3cc(OC)c(OC)cc3c12
P31644	GABRA5	QORLMYYHZLDYOR-UHFFFAOYSA-N	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2
P31644	GABRA5	YMIKAQYPFQWUEM-UHFFFAOYSA-N	CSc1sc(-c2cc[nH]n2)c2c1C(=O)CC(C)(C)C2
P31644	GABRA5	PPTYJKAXVCCBDU-UHFFFAOYSA-N	CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
P31644	GABRA5	RLFKILXOLJVUNF-UHFFFAOYSA-N	COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12
P31644	GABRA5	YGXIELIREXEJQN-UHFFFAOYSA-N	O=C1N=C(N2CCCCC2)CN1c1ccc(Cl)cc1
P31644	GABRA5	ZXRVKCBLGJOCEE-UHFFFAOYSA-N	O=c1[nH]oc2c1CCNC2
P31644	GABRA5	ZJQHPWUVQPJPQT-UHFFFAOYSA-N	NCc1cc(O)no1
P31644	GABRA5	AAOVKJBEBIDNHE-UHFFFAOYSA-N	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
P31644	GABRA5	OFBIFZUFASYYRE-UHFFFAOYSA-N	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
P31644	GABRA5	LWUDDYHYYNNIQI-ZDUSSCGKSA-N	CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2
P31644	GABRA5	DGBIGWXXNGSACT-UHFFFAOYSA-N	O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
P31644	GABRA5	WRHJCJHWJSQAHY-UHFFFAOYSA-N	O=c1c2c[nH]c3ccccc3c-2nn1-c1ccccc1
P31644	GABRA5	QMCOPDWHWYSJSA-UHFFFAOYSA-N	CNC(=O)c1cc2c(cn1)[nH]c1ccccc12
P31644	GABRA5	ALGFQPMFHIDLFQ-UHFFFAOYSA-N	Cc1ccc2oc(-c3cc(Br)ccc3O)cc(=O)c2c1
P31644	GABRA5	NYQXVKFKGJZIOC-UHFFFAOYSA-N	Oc1nc2ccc(Cl)cc2c2nc(-c3ccccc3F)nn12
